sku,medidas,colores_banos,material,ubicacion,marca,proveedor,nombre_pendiente_OCR,potencia_pendiente_OCR,tono_luz_pendiente_OCR
P-49,,Negro u óxido · Incluye · Portalámparas E27,: hierro y resina · Chico: 15cm. de ancho x 28cm. de alto · Grande: 15cm. de ancho x 50cm. de alto,,Perfecta,MAZ Iluminación,,,
P-50,,Negro o simil óxido · Incluye · Portalámparas E27,: hierro · Chapón de 32cm. de alto x 15cm. de ancho · Diámetro de la jaula de 16cm. · 25cm. de profundidad total con chapón incluído,,Perfecta,MAZ Iluminación,,,
P-51,,"Negro, blanco, óxido, · metalizado bronce, metalizado cobre, · metalizado plata. (Todos pintura) · Incluye · Portalámparas E27",: alambre · 17cm. de alto x 16cm. de ancho,,Perfecta,MAZ Iluminación,,,
P-52,,"Negro, blanco, óxido, · metalizado bronce, metalizado cobre, · metalizado plata. (Todos pintura) · Incluye · Portalámparas E27",: alambre · 31cm. de alto x 30cm. de ancho,,Perfecta,MAZ Iluminación,,,
P-53,,"Negro, blanco u óxido · Incluye · Portalámparas E27",: hierro · 24cm. de profundidad x 20cm. de altura · 28cm. de diámetro de la pantalla,,Perfecta,MAZ Iluminación,,,
P-54,,"Negro, blanco o gris · Incluye · Portalámparas E27",: metal · 15cm. de diámetro x 20cm. de profundidad · 17cm. de altura de pantalla,,Perfecta,MAZ Iluminación,,,
P-55,,"Negro, blanco, óxido o gris · Incluye · Portalámparas E27",: metal · 42cm. de diámetro x 28cm. de altura,,Perfecta,MAZ Iluminación,,,
P-56,,"Negro, blanco, óxido, gris, amarillo o rojo · Incluye · Portalámparas E27",: metal · 30cm. de diámetro x 14cm. de altura,,Perfecta,MAZ Iluminación,,,
P-57,,"Negro, blanco, óxido o gris · Incluye · Portalámparas E27",: metal · 28cm. de diámetro x 21cm. de altura · 38cm. de diámetro x 23cm. de altura,,Perfecta,MAZ Iluminación,,,
P-58,,"Negro, blanco, óxido o gris · Incluye · Portalámparas E27",: metal · 28cm. de diámetro x 21cm. de altura · 38cm. de diámetro x 23cm. de altura,,Perfecta,MAZ Iluminación,,,
P-59,,"Negro, blanco, óxido, · gris, rojo, amarillo, o cobre. · Consultar por mas colores · Incluye · Portalámparas E27",: metal · 17cm. de alto x 15cm. de diámetro,,Perfecta,MAZ Iluminación,,,
P-60,,"Negro, blanco u óxido · Incluye · Portalámparas E27",: metal · 33cm. de profundidad x 28cm. de altura · 22cm. de diámetro de la pantalla,,Perfecta,MAZ Iluminación,,,
P-61,,"Negro, blanco o gris · Incluye · Portalámparas E27",: metal · 15cm. de diámetro x 20cm. de profundidad · 17cm. de altura de pantalla,,Perfecta,MAZ Iluminación,,,
P-62,37cm. de diámetro x 19cm. de altura,"Metal · Negro exterior, blanco interior · Incluye · 1 portalámparas E27",,,Perfecta,MAZ Iluminación,,,
P-63,60cm. de diámetro x 30cm. de profundidad · 80cm. de diámetro x 40cm. de profundidad · 1mt. de diámetro x 50cm. de profundidad · Bajada con cable y tensor de 1.50mts.,"Negro con interior bronce, cobre o blanco · Blanco con interior bronce, cobre o blanco integro · Consultar por más combinaciones · Incluye · 1 portalámparas E27 en version de 60cms · 3 portalámparas E27 en 80cms o 1mt. · Florón de 12cm. de diámetro",,,Perfecta,MAZ Iluminación,,,
P-64,60cm. de diámetro x 30cm. de profundidad · 80cm. de diámetro x 40cm. de profundidad · 1mt. de diámetro x 50cm. de profundidad · Bajada con cable y tensor de 1.50mts.,"Negro con interior bronce, cobre o blanco · Blanco con interior bronce, cobre o blanco integro · Consultar por más combinaciones · Incluye · 1 portalámparas E27 en version de 60cms · 3 portalámparas E27 en 80cms o 1mt. · Florón de 12cm. de diámetro",,,Perfecta,MAZ Iluminación,,,
P-65,Opción 40cm. de diámetro y 2 luces · Opción 60cm. de diámetro y 4 luces · Opción 70cm. de diámetro y 4 luces · Opción 80cm. de diámetro y 4 luces · Opción 1mt. de diámetro y 6 luces,,"Resina blanca, marfil y cálido · Incluye · Portalámparas E27",,Perfecta,MAZ Iluminación,,,
P-66,Opción 40cm. de diámetro y 2 luces · Opción 60cm. de diámetro y 4 luces · Opción 70cm. de diámetro y 4 luces · Opción 80cm. de diámetro y 4 luces · Opción 1mt. de diámetro y 6 luces,,"Resina blanca, marfil y cálido · Incluye · Portalámparas E27",,Perfecta,MAZ Iluminación,,,
P-67,Opción 40cm. de diámetro y 2 luces · Opción 60cm. de diámetro y 4 luces · Opción 70cm. de diámetro y 4 luces · Opción 80cm. de diámetro y 4 luces · Opción 1mt. de diámetro y 6 luces,,"Resina blanca, marfil y cálido · Incluye · Portalámparas E27",,Perfecta,MAZ Iluminación,,,
P-68,Opción 40cm. de diámetro y 2 luces · Opción 60cm. de diámetro y 4 luces · Opción 70cm. de diámetro y 4 luces · Opción 80cm. de diámetro y 4 luces · Opción 1mt. de diámetro y 6 luces,,"Resina blanca, marfil y cálido · Incluye · Portalámparas E27",,Perfecta,MAZ Iluminación,,,
P-69,Opción 1mt. x 30cm. (8 velas chicas + 2 velas grandes) · Opción 1.20mts. x 30cm. (10 velas chicas + 3 velas grandes) · Opción 1.40mts. x 30cm. (12 velas chicas + 4 velas grandes),,Hierro y resina · Incluye · Velas pequeñas con portalámparas E27 · Velas grandes con zócalo GU10,,Perfecta,MAZ Iluminación,,,
P-70,Opción 1mt. x 30cm. (8 velas chicas + 2 velas grandes) · Opción 1.20mts. x 30cm. (10 velas chicas + 3 velas grandes) · Opción 1.40mts. x 30cm. (12 velas chicas + 4 velas grandes),,Hierro y resina · Incluye · Velas pequeñas con portalámparas E27 · Velas grandes con zócalo GU10,,Perfecta,MAZ Iluminación,,,
P-71,Opción 1mt. x 30cm. (8 velas chicas + 2 velas grandes) · Opción 1.20mts. x 30cm. (10 velas chicas + 3 velas grandes) · Opción 1.40mts. x 30cm. (12 velas chicas + 4 velas grandes),,Hierro y resina · Incluye · Velas pequeñas con portalámparas E27 · Velas grandes con zócalo GU10,,Perfecta,MAZ Iluminación,,,
P-72,"60cm. de ancho x 60cm. de ancho · Caño de bajada de 60cm., florón 12cm. de diámetro",(,": hierro y bronce) · Negro con terminaciones en bronce, níquel o cobre · Incluye · 8 portalámparas E27",,Perfecta,MAZ Iluminación,,,
P-73,45cm. de diámetro sin los focos · Bajada con caño de 50cm.,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · 12 portalámparas E27 · Florón de 12cm. de diámetro",,,Perfecta,MAZ Iluminación,,,
P-74,45cm. de diámetro sin los focos · Bajada con caño de 50cm.,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · 12 portalámparas E27 · Florón de 12cm. de diámetro",,,Perfecta,MAZ Iluminación,,,
P-75,,Negro con dorado o plateado · Plateado con blanco · Consultar por otras combinaciones · Incluye · 4 zócalos G9 · Elctricidad 220W,: hierro · 40cm. de altura x 20cm. de ancho,,Perfecta,MAZ Iluminación,,,
P-76,"70cm. de largo x 8cm. de diámetro · Bajada por cable y tensor, florón de 12cm. de diámetro","Negro o blanco exterior · Interior en bronce, cobre o blanco · Consultar por otras combinaciones · Incluye · 2 zócalos G9 · (Precio por unidad)",,,Perfecta,MAZ Iluminación,,,
P-77,,"Negro o blanco exterior · Interior bronce, cobre o blanco · Consultar por otras combinaciones · Incluye · 2 zócalos G9",: hierro · 53cm. de largo x 8cm. de diámetro · Florón de 12cm. de diámetro,,Perfecta,MAZ Iluminación,,,
P-78,,Negro con dorado o plateado · Plateado con blanco · Consultar por otras combinaciones · Incluye · 4 zócalos G9 · Elctricidad 220W. No incluye focos,: hierro · 57cm. de largo x 16cm. de ancho · Base de 37cm. x 13cm.,,Perfecta,MAZ Iluminación,,,
P-79,,Negro con dorado o plateado · Plateado con blanco · Consultar por otras combinaciones · Incluye · 6 zócalos G9 · Elctricidad 220W. No incluye focos,: hierro · Base de 57cm. x 24cm.,,Perfecta,MAZ Iluminación,,,
P-80,,Parte inferior: negro y blanco. Madera: lenga y habano · Incluye · Portalámparas E27,": madera de lenga o habano y pvc, detalles en cuero · Florón de 12cm. de diámetro, bajada de cable de 1.5mts. · Chico: 53cm. de alto x 11cm. de diámetro · Grande: 62cm. de alto x 16cm. de diámetro",,Perfecta,MAZ Iluminación,,,
P-81,,Parte inferior: negro y blanco. Madera: lenga y habano · Incluye · Portalámparas E27,": madera de lenga o habano y pvc, detalles en cuero · Florón de 12cm. de diámetro, bajada de cable de 1.5mts. · Chico: 53cm. de alto x 11cm. de diámetro · Grande: 62cm. de alto x 16cm. de diámetro",,Perfecta,MAZ Iluminación,,,
P-82,"80cm. de largo sin las tulipas, 1.10mts. con las tulipas · Liston de 80cm. de largo x 5cm. de ancho · Bajada con cable y tensor","Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Tulipas de 15cm. o de 18cm. transparentes u · opales",,,Perfecta,MAZ Iluminación,,,
P-83,"80cm. de largo sin las tulipas, 1.10mts. con las tulipas · Liston de 80cm. de largo x 5cm. de ancho · Bajada con cable y tensor","Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Tulipas de 15cm. o de 18cm. transparentes u · opales",,,Perfecta,MAZ Iluminación,,,
P-84,1.5mts. o 1.8mts. de largo · Ménsula de 80cm. de largo y la base de 60cm. · 14cm. de diámetro en la pantalla,Negro o blanco con detalles en cromo · Incluye · 1 portalámparas E27,,,Perfecta,MAZ Iluminación,,,
P-85,1.5mts. o 1.8mts. de largo · Ménsula de 80cm. de largo y la base de 60cm. · 14cm. de diámetro en la pantalla,Negro o blanco con detalles en cromo · Incluye · 1 portalámparas E27,,,Perfecta,MAZ Iluminación,,,
P-86,"120cm. de largo x 14,5cm. (diámetro de · pantalla) · Lleva un caño extendible de 40cm. hasta 60cm. · Florón de 12cm. de diámetro",Negro o blanco · Incluye · 1 portalámparas E27,,,Perfecta,MAZ Iluminación,,,
P-87,"120cm. de largo x 14,5cm. (diámetro de · pantalla) · Florón de 28cm. de diámetro · Lleva un caño extendible de 40cm. hasta 60cm.",Negro o blanco · Incluye · 2 portalámparas E27,,,Perfecta,MAZ Iluminación,,,
P-88,,"Negro, blanco u óxido · Consultar por colores especiales · Incluye · Tira de led de 1,20mts. · 240 led por metro",": madera de lenga y metal · 1.40mts. de largo y 12cm. de ancho · Bajada con cable y tensor, florón de 12cm. de diámetro",,Perfecta,MAZ Iluminación,,,
P-89,90cm. de largo · Bajada total de 1.50mts. de cable,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · 4 tulipas de 15cm. o de 18cm. transparentes · u opales",,,Perfecta,MAZ Iluminación,,,
P-90,90cm. de largo · Bajada total de 1.50mts. de cable,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · 4 tulipas de 15cm. o de 18cm. transparentes · u opales",,,Perfecta,MAZ Iluminación,,,
P-91,,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27",: metal · 40cm. de altura x 19cm. de profundidad,,Perfecta,MAZ Iluminación,,,
P-92,,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27",: metal · 40cm. de altura x 19cm. de profundidad,,Perfecta,MAZ Iluminación,,,
P-93,,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27",: metal · 40cm. de altura x 19cm. de profundidad,,Perfecta,MAZ Iluminación,,,
P-94,,Negro íntegro con detalles en bronce o cobre · Incluye · Portalámparas E27 · Pantalla de vidrio,: metal · Extención de brazo de 57cm. de largo · Diámetro de pantalla de 15cm.,,Perfecta,MAZ Iluminación,,,
P-95,,Negro íntegro con detalles en bronce o cobre · Incluye · Portalámparas E27 · Pantalla de vidrio,: metal · Extención de brazo de 57cm. de largo · Diámetro de pantalla de 15cm.,,Perfecta,MAZ Iluminación,,,
P-96,"Caño de 25cm. de largo · Bajada con cable y tensor, florón 12cm. de diámetro","Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipas de 15cm. transparente u opal",,,Perfecta,MAZ Iluminación,,,
P-97,"Caño de 25cm. de largo · Bajada con cable y tensor, florón 12cm. de diámetro","Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipas de 15cm. transparente u opal",,,Perfecta,MAZ Iluminación,,,
P-98,"Caño de 30cm. de largo · Bajada con cable y tensor, florón 12cm. de diámetro","Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipas de 18cm. transparente u opal",,,Perfecta,MAZ Iluminación,,,
P-99,"Caño de 30cm. de largo · Bajada con cable y tensor, florón 12cm. de diámetro","Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipas de 18cm. transparente u opal",,,Perfecta,MAZ Iluminación,,,
P-100,"Caño de 30cm. de largo · Bajada con cable y tensor, florón 12cm. de diámetro","Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipas de 30cm. transparente u opal",,,Perfecta,MAZ Iluminación,,,
P-101,"Caño de 30cm. de largo · Bajada con cable y tensor, florón 12cm. de diámetro","Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipas de 30cm. transparente u opal",,,Perfecta,MAZ Iluminación,,,
P-102,Caño de 73cm. de altura x 85cm. de ancho · Bajada mediante cable y tensor con tulipas de 15cm. · transparentes u opal (mismo valor),"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · 6 portalámparas E27. Electricidad 220w · Florón de 12cm. de diámetro",,,Perfecta,MAZ Iluminación,,,
P-103,Caño de 73cm. de altura x 85cm. de ancho · Bajada mediante cable y tensor con tulipas de 15cm. · transparentes u opal (mismo valor),"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · 6 portalámparas E27. Electricidad 220w · Florón de 12cm. de diámetro",,,Perfecta,MAZ Iluminación,,,
P-104,"85cm. de diámetro x 70cm. de altura (con tulipas incluídas) · Caño de bajada de 60cm., florón 12cm. de diámetro","Negro con terminaciones en bronce o cobre · Baño: bronce, cobre o cromo · Incluye · 8 portalámparas E27 · Tulipas de 15cm. de diámetro opal o transparentes · CONSULTAR POR MODELO CON 16 TULIPAS",,,Perfecta,MAZ Iluminación,,,
P-105,"85cm. de diámetro x 70cm. de altura (con tulipas incluídas) · Caño de bajada de 60cm., florón 12cm. de diámetro","Negro con terminaciones en bronce o cobre · Baño: bronce, cobre o cromo · Incluye · 8 portalámparas E27 · Tulipas de 15cm. de diámetro opal o transparentes · CONSULTAR POR MODELO CON 16 TULIPAS",,,Perfecta,MAZ Iluminación,,,
P-106,"Diámetro de la base de 26cm. · Caño de 65cm. y 75cm. de largo, con movimiento","Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipas de 15cm. o 18cm. transparente u opal",,,Perfecta,MAZ Iluminación,,,
P-107,"Diámetro de la base de 26cm. · Caño de 65cm. y 75cm. de largo, con movimiento","Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipas de 15cm. o 18cm. transparente u opal",,,Perfecta,MAZ Iluminación,,,
P-108,1.60mts. de largo · Diametro de la base de 30cm.,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · 4 tulipas de 15cm. o de 18cm. transparentes · u opales",,,Perfecta,MAZ Iluminación,,,
P-109,1.60mts. de largo · Diametro de la base de 30cm.,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · 4 tulipas de 15cm. o de 18cm. transparentes · u opales",,,Perfecta,MAZ Iluminación,,,
P-110,Barra de 1.20mts. o 1.40mts. 2 tulipas en 1.2mt y 3 tulipas en · 1.4mt. · Macetero de 24cm. de diámetro x 12cm. de profundidad · Bajada por cable y tensor,Negro o blanco · Incluye · Portalámparas E27 y dicroica · Tulipa de 18cm. opal o transparente,,,Perfecta,MAZ Iluminación,,,
P-111,Barra de 1.20mts. o 1.40mts. 2 tulipas en 1.2mt y 3 tulipas en · 1.4mt. · Macetero de 24cm. de diámetro x 12cm. de profundidad · Bajada por cable y tensor,Negro o blanco · Incluye · Portalámparas E27 y dicroica · Tulipa de 18cm. opal o transparente,,,Perfecta,MAZ Iluminación,,,
P-112,,,: madera KIRI · 1.47mts. de largo (para tubo de 1.20mts.) y · 14cm. de ancho · Florón de 12cm. de diámetro · Electricidad 220W,,Perfecta,MAZ Iluminación,,,
P-113,Tira de cuero de 1.50mts. doblada en dos · Aro metálico de 33cm. de diámetro. · Altura total de 80cm. desde el inicio de la tira hasta el final de · la tulipa. Bajada de cable de 1.50mts.,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipa de 30cm. opal · Florón de 12cm. de diámetro",,,Perfecta,MAZ Iluminación,,,
P-114,"Altura de 160cm. regulable, distintas posiciones · Diámetro de la pantalla de 22cm.","Negro, blanco u óxido · Incluye · 1 portalámparas E27",,,Perfecta,MAZ Iluminación,,,
P-115,,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipas de 15cm. o 18cm. transparente u opal",: metal · Caño de 17cm. de largo,,Perfecta,MAZ Iluminación,,,
P-116,,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipas de 15cm. o 18cm. transparente u opal",: metal · Caño de 17cm. de largo,,Perfecta,MAZ Iluminación,,,
P-117,,"Negro, blanco u óxido · Baño: cobre, bronce o cromo · Incluye · Portalámparas E27 · Tulipas de 15cm. o 18cm. transparente u opal",: metal · Caño de 17cm. de largo,,Perfecta,MAZ Iluminación,,,
